ID_product	Product	ID	index	CHEBI.Label	CHEBI.ID	Concentration	unit	value
		ID		I 'active ingredient in'	TYPE			I 'has concentration value'
PESTON:0112844	CHECKMATE OFM-F	PESTON:0700053	53	(E,E,E)-Sylvatine	CHEBI:175891	0.3	%	0.3
PESTON:0116116	CHARAN OFM	PESTON:0700054	54	(E,E,E)-Sylvatine	CHEBI:175891	0.3	%	0.3
PESTON:0110293	SIRENE CM	PESTON:0700055	55	(E,E,E)-Sylvatine	CHEBI:175891	6	%	6
PESTON:0116548	CHECKMATE PUFFER OFM	PESTON:0700056	56	(E,E,E)-Sylvatine	CHEBI:175891	0.10%	%	0.1
PESTON:0111554	ECODIAN CIDIA	PESTON:0700057	57	(E,E,E)-Sylvatine	CHEBI:175891	0.1 m	%	0.1
PESTON:0111551	ISOMATE C PLUS	PESTON:0700058	58	(E,E,E)-Sylvatine	CHEBI:175891	117.0 m	mg	117
PESTON:0111552	ISOMATE C TT	PESTON:0700059	59	(E,E,E)-Sylvatine	CHEBI:175891	234.0 m	mg	234
PESTON:0114351	LENA MATE C	PESTON:0700060	60	(E,E,E)-Sylvatine	CHEBI:175891			
PESTON:0115261	EXOSEX OFM	PESTON:0700061	61	(E,E,E)-Sylvatine	CHEBI:175891			
PESTON:0115354	CIDETRAK OFM	PESTON:0700062	62	(E,E,E)-Sylvatine	CHEBI:175891			
PESTON:0111556	RAK 5+6	PESTON:0700063	63	(E,Z)-2,4-Dodecadiene	CHEBI:88608	210.0 m	mg	210
PESTON:0111556	RAK 5+6	PESTON:0700064	64	(E,Z)-alpha-farnesene	CHEBI:39240	25.0 m	%	25
PESTON:0105259	DU-DUSIT G	PESTON:0700065	65	(R)-bromacil	CHEBI:83659	2	%	2
PESTON:0113135	CORASIL	PESTON:0700066	66	(R)-dichlorprop	CHEBI:75373	2.7	%	2.7
PESTON:0100871	TRIBUNIL COMBI	PESTON:0700067	67	(R)-dichlorprop	CHEBI:75373			
PESTON:0117715	CHECKMATE VMB-PRO	PESTON:0700068	68	(R)-lavandulyl diphosphate	CHEBI:50280	11.8	%	11.8
PESTON:0117390	CHECKMATE VMB 2019	PESTON:0700069	69	(R)-lavandulyl diphosphate	CHEBI:50280	117.9	g	117.9
PESTON:0116725	ISONET PF 2016	PESTON:0700070	70	(R)-lavandulyl diphosphate	CHEBI:50280	960	g	960
PESTON:0116983	ISONET PF 2017	PESTON:0700071	71	(R)-lavandulyl diphosphate	CHEBI:50280	960	g	960
PESTON:0117392	ISONET PF 2019	PESTON:0700072	72	(R)-lavandulyl diphosphate	CHEBI:50280	960	g	960
PESTON:0117568	ISONET PF 2020	PESTON:0700073	73	(R)-lavandulyl diphosphate	CHEBI:50280	960	g	960
PESTON:0116724	CHECKMATE VMB	PESTON:0700074	74	(R)-lavandulyl diphosphate	CHEBI:50280	150.0 m	mg	150
PESTON:0116985	SUTERRA CHECKMATE VMB	PESTON:0700075	75	(R)-lavandulyl diphosphate	CHEBI:50280	150.0 m	mg	150
PESTON:0117172	CHECKMATE SUTERRA VMB	PESTON:0700076	76	(R)-lavandulyl diphosphate	CHEBI:50280	150.0 m	mg	150
PESTON:0116397	CHECKMATE VMB-XL	PESTON:0700077	77	(R)-lavandulyl diphosphate	CHEBI:50280	150.0 m/K	mg	150
PESTON:0117575	CHECKMATE VMB 2020	PESTON:0700078	78	(R)-lavandulyl diphosphate	CHEBI:50280	150.0 m/K	mg	150
PESTON:0117171	ISONET PF 2018	PESTON:0700079	79	(R)-lavandulyl diphosphate	CHEBI:50280	960.0 /k	mg	960
PESTON:0103004	MALATOIL	PESTON:0700080	80	(R)-malathion	CHEBI:141475	3.3	%	3.3
PESTON:0116405	IMAGE GOLD	PESTON:0700081	81	(R)-mecoprop	CHEBI:75703	12	%	12
PESTON:0106118	MECOSIP	PESTON:0700082	82	(R)-mecoprop	CHEBI:75703	21	%	21
PESTON:0113335	DUPLOSAN KV	PESTON:0700083	83	(R)-mecoprop	CHEBI:75703	52.6	%	52.6
PESTON:0117891	BLESAL TOP	PESTON:0700084	84	(R)-mecoprop	CHEBI:75703	52.6	%	52.6
PESTON:0101650	TRIBUNIL MP	PESTON:0700085	85	(R)-mecoprop	CHEBI:75703			
PESTON:0115735	IKEBANA TRIPLE ACCION	PESTON:0700086	86	(R)-tebuconazole	CHEBI:83781	0	%	0
PESTON:0110506	LALSTOP K61 WP	PESTON:0700087	87	(R,S,S,S)-nebivolol	CHEBI:64020	33	%	33
PESTON:0110039	RAFT	PESTON:0700088	88	(Rp)-cAMPS	CHEBI:84622	35.4	%	35.4
PESTON:0116320	EXCELERO	PESTON:0700089	89	(S)-2-trans-abscisic acid D-glucopyranosyl ester	CHEBI:62438	10	%	10
PESTON:0116406	PROTONE VBC	PESTON:0700090	90	(S)-2-trans-abscisic acid D-glucopyranosyl ester	CHEBI:62438	10	%	10
PESTON:0116579	PROTONE SL	PESTON:0700091	91	(S)-2-trans-abscisic acid D-glucopyranosyl ester	CHEBI:62438	10	%	10
PESTON:0116802	ZYPAR	PESTON:0700092	92	(S)-cloquintocet-mexyl	CHEBI:143154	0.5	%	0.5
PESTON:0115006	TRAXOS PRONTO	PESTON:0700093	93	(S)-cloquintocet-mexyl	CHEBI:143154	0.6	%	0.6
PESTON:0114935	TIMELINE TRIO	PESTON:0700094	94	(S)-cloquintocet-mexyl	CHEBI:143154	0.7	%	0.7
PESTON:0116771	PIXXARO	PESTON:0700095	95	(S)-cloquintocet-mexyl	CHEBI:143154	1.2	%	1.2
PESTON:0117451	TEKKEN	PESTON:0700096	96	(S)-cloquintocet-mexyl	CHEBI:143154	1.2	%	1.2
PESTON:0115007	AXIAL PRONTO	PESTON:0700097	97	(S)-cloquintocet-mexyl	CHEBI:143154	1.3	%	1.3
PESTON:0115379	AXIAL PRONTO 60	PESTON:0700098	98	(S)-cloquintocet-mexyl	CHEBI:143154	1.6	%	1.6
PESTON:0112845	AXIAL	PESTON:0700099	99	(S)-cloquintocet-mexyl	CHEBI:143154	2.4	%	2.4
PESTON:0112498	TRAXOS	PESTON:0700100	100	(S)-cloquintocet-mexyl	CHEBI:143154	2.4	%	2.4
PESTON:0115847	MAKURI	PESTON:0700101	101	(S)-cloquintocet-mexyl	CHEBI:143154	8	%	8
PESTON:0110063	TOPIK 80 EC	PESTON:0700102	102	(S)-cloquintocet-mexyl	CHEBI:143154	8.1	%	8.1
