ID of ingredient concentration	index	ID of product (if we want to link to it)	ID of active ingredient instance	type	Concentration	value	unit
ID			I 'is about'	TYPE		I 'has value'	I 'has unit'
PESTON:0903788	3788	PESTON:0107621	PESTON:0717515	ingredient concentration	11	11	UOM:%25
PESTON:0903789	3789	PESTON:0106750	PESTON:0717513	ingredient concentration	12	12	UOM:%25
PESTON:0903790	3790	PESTON:0107572	PESTON:0717518	ingredient concentration	15	15	UOM:%25
PESTON:0903791	3791	PESTON:0108976	PESTON:0703791	ingredient concentration	18	18	UOM:%25
PESTON:0903792	3792	PESTON:0100532	PESTON:0703739	ingredient concentration	20	20	UOM:%25
PESTON:0903793	3793	PESTON:0104764	PESTON:0703793	ingredient concentration	20	20	UOM:%25
PESTON:0903794	3794	PESTON:0106768	PESTON:0703794	ingredient concentration	23	23	UOM:%25
PESTON:0903795	3795	PESTON:0106769	PESTON:0703795	ingredient concentration	25	25	UOM:%25
PESTON:0903796	3796	PESTON:0108355	PESTON:0703796	ingredient concentration	25	25	UOM:%25
PESTON:0903797	3797	PESTON:0106234	PESTON:0715237	ingredient concentration	27	27	UOM:%25
PESTON:0903798	3798	PESTON:0108596	PESTON:0715246	ingredient concentration	27	27	UOM:%25
PESTON:0903799	3799	PESTON:0108745	PESTON:0715239	ingredient concentration	27	27	UOM:%25
PESTON:0903800	3800	PESTON:0108519	PESTON:0715238	ingredient concentration	28	28	UOM:%25
PESTON:0903801	3801	PESTON:0105357	PESTON:0703801	ingredient concentration	31	31	UOM:%25
PESTON:0903802	3802	PESTON:0105916	PESTON:0703802	ingredient concentration	31	31	UOM:%25
PESTON:0903803	3803	PESTON:0114342	PESTON:0714843	ingredient concentration	31.1	31.1	UOM:%25
PESTON:0903804	3804	PESTON:0107301	PESTON:0703804	ingredient concentration	32	32	UOM:%25
PESTON:0903805	3805	PESTON:0103755	PESTON:0703805	ingredient concentration	34	34	UOM:%25
PESTON:0903806	3806	PESTON:0104043	PESTON:0703806	ingredient concentration	35	35	UOM:%25
PESTON:0903807	3807	PESTON:0104353	PESTON:0703807	ingredient concentration	35	35	UOM:%25
PESTON:0903808	3808	PESTON:0104598	PESTON:0703808	ingredient concentration	35	35	UOM:%25
PESTON:0903809	3809	PESTON:0104763	PESTON:0703809	ingredient concentration	35	35	UOM:%25
PESTON:0903810	3810	PESTON:0104894	PESTON:0703810	ingredient concentration	35	35	UOM:%25
PESTON:0903811	3811	PESTON:0105700	PESTON:0703811	ingredient concentration	35	35	UOM:%25
PESTON:0903812	3812	PESTON:0105856	PESTON:0703812	ingredient concentration	35	35	UOM:%25
PESTON:0903813	3813	PESTON:0105989	PESTON:0703813	ingredient concentration	35	35	UOM:%25
PESTON:0903814	3814	PESTON:0106931	PESTON:0703814	ingredient concentration	35	35	UOM:%25
PESTON:0903815	3815	PESTON:0106978	PESTON:0703815	ingredient concentration	35	35	UOM:%25
PESTON:0903816	3816	PESTON:0106984	PESTON:0703816	ingredient concentration	35	35	UOM:%25
PESTON:0903817	3817	PESTON:0107126	PESTON:0703817	ingredient concentration	35	35	UOM:%25
PESTON:0903818	3818	PESTON:0107139	PESTON:0703818	ingredient concentration	35	35	UOM:%25
PESTON:0903819	3819	PESTON:0107244	PESTON:0703819	ingredient concentration	35	35	UOM:%25
PESTON:0903820	3820	PESTON:0107880	PESTON:0703820	ingredient concentration	35	35	UOM:%25
PESTON:0903821	3821	PESTON:0103015	PESTON:0703821	ingredient concentration	36.1	36.1	UOM:%25
PESTON:0903822	3822	PESTON:0105235	PESTON:0703822	ingredient concentration	37	37	UOM:%25
PESTON:0903823	3823	PESTON:0105696	PESTON:0703823	ingredient concentration	37	37	UOM:%25
PESTON:0903824	3824	PESTON:0106235	PESTON:0715242	ingredient concentration	37	37	UOM:%25
PESTON:0903825	3825	PESTON:0107122	PESTON:0703825	ingredient concentration	38	38	UOM:%25
PESTON:0903826	3826	PESTON:0106021	PESTON:0715243	ingredient concentration	38	38	UOM:%25
PESTON:0903827	3827	PESTON:0107291	PESTON:0714844	ingredient concentration	40	40	UOM:%25
PESTON:0903828	3828	PESTON:0110264	PESTON:0714845	ingredient concentration	40	40	UOM:%25
PESTON:0903829	3829	PESTON:0109840	PESTON:0714846	ingredient concentration	44	44	UOM:%25
PESTON:0903830	3830	PESTON:0108677	PESTON:0703830	ingredient concentration	44.4	44.4	UOM:%25
PESTON:0903831	3831	PESTON:0107435	PESTON:0703831	ingredient concentration	45	45	UOM:%25
PESTON:0903832	3832	PESTON:0108108	PESTON:0703832	ingredient concentration	45	45	UOM:%25
PESTON:0903833	3833	PESTON:0106553	PESTON:0703833	ingredient concentration	46	46	UOM:%25
PESTON:0903834	3834	PESTON:0106930	PESTON:0703834	ingredient concentration	46	46	UOM:%25
PESTON:0903835	3835	PESTON:0106985	PESTON:0703835	ingredient concentration	46	46	UOM:%25
PESTON:0903836	3836	PESTON:0104363	PESTON:0703836	ingredient concentration	64	64	UOM:%25
PESTON:0903837	3837	PESTON:0100456	PESTON:0703837	ingredient concentration	65	65	UOM:%25
PESTON:0903838	3838	PESTON:0107264	PESTON:0703838	ingredient concentration	65	65	UOM:%25
PESTON:0903839	3839	PESTON:0108129	PESTON:0703839	ingredient concentration	65	65	UOM:%25
PESTON:0903840	3840	PESTON:0108404	PESTON:0703840	ingredient concentration	65	65	UOM:%25
PESTON:0903841	3841	PESTON:0108426	PESTON:0703841	ingredient concentration	65	65	UOM:%25
PESTON:0903842	3842	PESTON:0108476	PESTON:0703842	ingredient concentration	65	65	UOM:%25
PESTON:0903843	3843	PESTON:0108598	PESTON:0703843	ingredient concentration	65	65	UOM:%25
PESTON:0903844	3844	PESTON:0108776	PESTON:0703844	ingredient concentration	65	65	UOM:%25
PESTON:0903845	3845	PESTON:0109325	PESTON:0703845	ingredient concentration	65	65	UOM:%25
PESTON:0903846	3846	PESTON:0110179	PESTON:0703846	ingredient concentration	65	65	UOM:%25
PESTON:0903847	3847	PESTON:0110244	PESTON:0703847	ingredient concentration	65	65	UOM:%25
PESTON:0903848	3848	PESTON:0110255	PESTON:0703848	ingredient concentration	65	65	UOM:%25
PESTON:0903849	3849	PESTON:0110449	PESTON:0703849	ingredient concentration	65	65	UOM:%25
PESTON:0903850	3850	PESTON:0112005	PESTON:0703850	ingredient concentration	65	65	UOM:%25
PESTON:0903851	3851	PESTON:0106890	PESTON:0703851	ingredient concentration	67	67	UOM:%25
PESTON:0903852	3852	PESTON:0106987	PESTON:0703852	ingredient concentration	67	67	UOM:%25
PESTON:0903853	3853	PESTON:0102886	PESTON:0703853	ingredient concentration	67.2	67.2	UOM:%25
PESTON:0903854	3854	PESTON:0106961	PESTON:0703854	ingredient concentration	67.2	67.2	UOM:%25
PESTON:0903855	3855	PESTON:0105246	PESTON:0703855	ingredient concentration	67.5	67.5	UOM:%25
PESTON:0903856	3856	PESTON:0102994	PESTON:0703856	ingredient concentration	68	68	UOM:%25
PESTON:0903857	3857	PESTON:0104557	PESTON:0703857	ingredient concentration	68	68	UOM:%25
PESTON:0903858	3858	PESTON:0105191	PESTON:0703858	ingredient concentration	68.8	68.8	UOM:%25
PESTON:0903859	3859	PESTON:0102037	PESTON:0703859	ingredient concentration	69	69	UOM:%25
PESTON:0903860	3860	PESTON:0102716	PESTON:0703860	ingredient concentration	69	69	UOM:%25
PESTON:0903861	3861	PESTON:0103064	PESTON:0703861	ingredient concentration	69	69	UOM:%25
PESTON:0903862	3862	PESTON:0103889	PESTON:0703862	ingredient concentration	69	69	UOM:%25
PESTON:0903863	3863	PESTON:0105197	PESTON:0703863	ingredient concentration	69	69	UOM:%25
PESTON:0903864	3864	PESTON:0105269	PESTON:0703864	ingredient concentration	69	69	UOM:%25
PESTON:0903865	3865	PESTON:0105519	PESTON:0703865	ingredient concentration	69	69	UOM:%25
PESTON:0903866	3866	PESTON:0106310	PESTON:0703866	ingredient concentration	69	69	UOM:%25
PESTON:0903867	3867	PESTON:0106441	PESTON:0703867	ingredient concentration	69	69	UOM:%25
PESTON:0903868	3868	PESTON:0107125	PESTON:0703868	ingredient concentration	69	69	UOM:%25
PESTON:0903869	3869	PESTON:0106562	PESTON:0703869	ingredient concentration	80	80	UOM:%25
PESTON:0903870	3870	PESTON:0106889	PESTON:0703870	ingredient concentration	80	80	UOM:%25
PESTON:0903871	3871	PESTON:0106988	PESTON:0703871	ingredient concentration	80	80	UOM:%25
PESTON:0903872	3872	PESTON:0111672	PESTON:0703872	ingredient concentration	430.0 /l	430	UOM:g.L1
PESTON:0903873	3873	PESTON:0102760	PESTON:0703873	ingredient concentration			
PESTON:0903874	3874	PESTON:0104548	PESTON:0703874	ingredient concentration			
PESTON:0903875	3875	PESTON:0104678	PESTON:0703875	ingredient concentration			
PESTON:0903876	3876	PESTON:0104778	PESTON:0703876	ingredient concentration			
PESTON:0903877	3877	PESTON:0105066	PESTON:0703877	ingredient concentration			
PESTON:0903878	3878	PESTON:0105272	PESTON:0703878	ingredient concentration			
PESTON:0903879	3879	PESTON:0105979	PESTON:0713014	ingredient concentration			
PESTON:0903880	3880	PESTON:0105994	PESTON:0703880	ingredient concentration			
PESTON:0903881	3881	PESTON:0106120	PESTON:0703881	ingredient concentration			
PESTON:0903882	3882	PESTON:0106565	PESTON:0716754	ingredient concentration			
PESTON:0903883	3883	PESTON:0106646	PESTON:0703883	ingredient concentration			
PESTON:0903884	3884	PESTON:0107047	PESTON:0703884	ingredient concentration			
PESTON:0903885	3885	PESTON:0107248	PESTON:0703885	ingredient concentration			
PESTON:0903886	3886	PESTON:0107315	PESTON:0713015	ingredient concentration			
PESTON:0903887	3887	PESTON:0107340	PESTON:0713016	ingredient concentration			
PESTON:0903888	3888	PESTON:0102109	PESTON:0703888	ingredient concentration	5	5	UOM:%25
PESTON:0903889	3889	PESTON:0102110	PESTON:0703889	ingredient concentration	5	5	UOM:%25
PESTON:0903890	3890	PESTON:0105089	PESTON:0703890	ingredient concentration	5	5	UOM:%25
PESTON:0903891	3891	PESTON:0106623	PESTON:0703891	ingredient concentration	5	5	UOM:%25
PESTON:0903892	3892	PESTON:0108991	PESTON:0703892	ingredient concentration	5	5	UOM:%25
PESTON:0903893	3893	PESTON:0105339	PESTON:0703893	ingredient concentration			
PESTON:0903894	3894	PESTON:0108038	PESTON:0703894	ingredient concentration	15	15	UOM:%25
PESTON:0903895	3895	PESTON:0106245	PESTON:0703910	ingredient concentration	27	27	UOM:%25
PESTON:0903896	3896	PESTON:0107887	PESTON:0703909	ingredient concentration	27.2	27.2	UOM:%25
PESTON:0903897	3897	PESTON:0108039	PESTON:0720105	ingredient concentration	38	38	UOM:%25
PESTON:0903898	3898	PESTON:0108040	PESTON:0720103	ingredient concentration	38	38	UOM:%25
PESTON:0903899	3899	PESTON:0108045	PESTON:0720107	ingredient concentration	38	38	UOM:%25
PESTON:0903900	3900	PESTON:0106480	PESTON:0703900	ingredient concentration	41.2	41.2	UOM:%25
PESTON:0903901	3901	PESTON:0106575	PESTON:0703901	ingredient concentration	41.2	41.2	UOM:%25
PESTON:0903902	3902	PESTON:0113792	PESTON:0703902	ingredient concentration	41.2	41.2	UOM:%25
PESTON:0903903	3903	PESTON:0114392	PESTON:0703903	ingredient concentration	41.2	41.2	UOM:%25
PESTON:0903904	3904	PESTON:0106650	PESTON:0703904	ingredient concentration	46	46	UOM:%25
PESTON:0903905	3905	PESTON:0106686	PESTON:0703905	ingredient concentration	46	46	UOM:%25
PESTON:0903906	3906	PESTON:0109835	PESTON:0703906	ingredient concentration	66	66	UOM:%25
PESTON:0903907	3907	PESTON:0110953	PESTON:0703907	ingredient concentration	460.0 /l	460	UOM:g.L1
PESTON:0903908	3908	PESTON:0107076	PESTON:0703908	ingredient concentration			
PESTON:0903909	3909	PESTON:0107887	PESTON:0703896	ingredient concentration	13.8	13.8	UOM:%25
PESTON:0903910	3910	PESTON:0106245	PESTON:0703895	ingredient concentration	14	14	UOM:%25
PESTON:0903911	3911	PESTON:0103583	PESTON:0703911	ingredient concentration	0	0	UOM:%25
PESTON:0903912	3912	PESTON:0104992	PESTON:0703912	ingredient concentration	0	0	UOM:%25
PESTON:0903913	3913	PESTON:0105164	PESTON:0703913	ingredient concentration	0	0	UOM:%25
PESTON:0903914	3914	PESTON:0105739	PESTON:0703914	ingredient concentration	0	0	UOM:%25
PESTON:0903915	3915	PESTON:0106953	PESTON:0703915	ingredient concentration	0	0	UOM:%25
PESTON:0903916	3916	PESTON:0106976	PESTON:0703916	ingredient concentration	0	0	UOM:%25
PESTON:0903917	3917	PESTON:0107016	PESTON:0703917	ingredient concentration	0	0	UOM:%25
PESTON:0903918	3918	PESTON:0107111	PESTON:0703918	ingredient concentration	0	0	UOM:%25
PESTON:0903919	3919	PESTON:0107241	PESTON:0703919	ingredient concentration	0	0	UOM:%25
PESTON:0903920	3920	PESTON:0112228	PESTON:0703920	ingredient concentration	0	0	UOM:%25
PESTON:0903921	3921	PESTON:0113490	PESTON:0703921	ingredient concentration	0	0	UOM:%25
PESTON:0903922	3922	PESTON:0112693	PESTON:0703922	ingredient concentration	0.1	0.1	UOM:%25
PESTON:0903923	3923	PESTON:0103584	PESTON:0703923	ingredient concentration	0.3	0.3	UOM:%25
PESTON:0903924	3924	PESTON:0107846	PESTON:0703924	ingredient concentration	0.3	0.3	UOM:%25
PESTON:0903925	3925	PESTON:0104873	PESTON:0703925	ingredient concentration			
PESTON:0903926	3926	PESTON:0105023	PESTON:0703926	ingredient concentration			
PESTON:0903927	3927	PESTON:0105024	PESTON:0703927	ingredient concentration			
PESTON:0903928	3928	PESTON:0105025	PESTON:0703928	ingredient concentration			
PESTON:0903929	3929	PESTON:0105042	PESTON:0703929	ingredient concentration			
PESTON:0903930	3930	PESTON:0105664	PESTON:0703930	ingredient concentration			
PESTON:0903931	3931	PESTON:0105771	PESTON:0703931	ingredient concentration			
PESTON:0903932	3932	PESTON:0105773	PESTON:0703932	ingredient concentration			
PESTON:0903933	3933	PESTON:0105827	PESTON:0703933	ingredient concentration			
PESTON:0903934	3934	PESTON:0100849	PESTON:0708458	ingredient concentration	2	2	UOM:%25
PESTON:0903935	3935	PESTON:0104352	PESTON:0708461	ingredient concentration	2	2	UOM:%25
PESTON:0903936	3936	PESTON:0104392	PESTON:0708462	ingredient concentration	2	2	UOM:%25
PESTON:0903937	3937	PESTON:0104395	PESTON:0708463	ingredient concentration	2	2	UOM:%25
PESTON:0903938	3938	PESTON:0104560	PESTON:0708464	ingredient concentration	2	2	UOM:%25
PESTON:0903939	3939	PESTON:0106142	PESTON:0708459	ingredient concentration	2	2	UOM:%25
PESTON:0903940	3940	PESTON:0111394	PESTON:0703940	ingredient concentration	94	94	UOM:%25
PESTON:0903941	3941	PESTON:0115708	PESTON:0703941	ingredient concentration	94	94	UOM:%25
PESTON:0903942	3942	PESTON:0115951	PESTON:0703942	ingredient concentration	94	94	UOM:%25
PESTON:0903943	3943	PESTON:0116118	PESTON:0703943	ingredient concentration	94	94	UOM:%25
PESTON:0903944	3944	PESTON:0116358	PESTON:0703944	ingredient concentration	94	94	UOM:%25
PESTON:0903945	3945	PESTON:0116723	PESTON:0703945	ingredient concentration	94	94	UOM:%25
PESTON:0903946	3946	PESTON:0116999	PESTON:0703946	ingredient concentration	94	94	UOM:%25
PESTON:0903947	3947	PESTON:0117303	PESTON:0703947	ingredient concentration	94	94	UOM:%25
PESTON:0903948	3948	PESTON:0117423	PESTON:0703948	ingredient concentration	94	94	UOM:%25
PESTON:0903949	3949	PESTON:0117574	PESTON:0703949	ingredient concentration	94	94	UOM:%25
PESTON:0903950	3950	PESTON:0101594	PESTON:0703950	ingredient concentration			
PESTON:0903951	3951	PESTON:0100949	PESTON:0708460	ingredient concentration			
PESTON:0903952	3952	PESTON:0104949	PESTON:0703952	ingredient concentration	0.4	0.4	UOM:%25
PESTON:0903953	3953	PESTON:0107008	PESTON:0703953	ingredient concentration	3	3	UOM:%25
PESTON:0903954	3954	PESTON:0116674	PESTON:0703954	ingredient concentration	3.3	3.3	UOM:%25
PESTON:0903955	3955	PESTON:0115985	PESTON:0702156	ingredient concentration	6.1	6.1	UOM:%25
PESTON:0903956	3956	PESTON:0105943	PESTON:0703956	ingredient concentration	8	8	UOM:%25
PESTON:0903957	3957	PESTON:0105986	PESTON:0703957	ingredient concentration	8	8	UOM:%25
PESTON:0903958	3958	PESTON:0102582	PESTON:0704991	ingredient concentration	11	11	UOM:%25
PESTON:0903959	3959	PESTON:0105944	PESTON:0703959	ingredient concentration	12	12	UOM:%25
PESTON:0903960	3960	PESTON:0105945	PESTON:0703960	ingredient concentration	12	12	UOM:%25
PESTON:0903961	3961	PESTON:0108448	PESTON:0703961	ingredient concentration	13	13	UOM:%25
PESTON:0903962	3962	PESTON:0104742	PESTON:0704997	ingredient concentration	15	15	UOM:%25
PESTON:0903963	3963	PESTON:0108203	PESTON:0703963	ingredient concentration	15	15	UOM:%25
PESTON:0903964	3964	PESTON:0108430	PESTON:0705009	ingredient concentration	15	15	UOM:%25
PESTON:0903965	3965	PESTON:0114638	PESTON:0703965	ingredient concentration	15.1	15.1	UOM:%25
PESTON:0903966	3966	PESTON:0105802	PESTON:0704998	ingredient concentration	16	16	UOM:%25
PESTON:0903967	3967	PESTON:0105942	PESTON:0703967	ingredient concentration	16	16	UOM:%25
PESTON:0903968	3968	PESTON:0105984	PESTON:0703968	ingredient concentration	16	16	UOM:%25
PESTON:0903969	3969	PESTON:0105987	PESTON:0703969	ingredient concentration	16	16	UOM:%25
PESTON:0903970	3970	PESTON:0107427	PESTON:0705003	ingredient concentration	16	16	UOM:%25
PESTON:0903971	3971	PESTON:0106855	PESTON:0704884	ingredient concentration	18	18	UOM:%25
PESTON:0903972	3972	PESTON:0104885	PESTON:0704900	ingredient concentration	20	20	UOM:%25
PESTON:0903973	3973	PESTON:0105734	PESTON:0703973	ingredient concentration	20	20	UOM:%25
PESTON:0903974	3974	PESTON:0106733	PESTON:0705000	ingredient concentration	20	20	UOM:%25
PESTON:0903975	3975	PESTON:0106886	PESTON:0703975	ingredient concentration	20	20	UOM:%25
PESTON:0903976	3976	PESTON:0106888	PESTON:0705001	ingredient concentration	20	20	UOM:%25
PESTON:0903977	3977	PESTON:0107093	PESTON:0703977	ingredient concentration	20	20	UOM:%25
PESTON:0903978	3978	PESTON:0107167	PESTON:0705002	ingredient concentration	20	20	UOM:%25
PESTON:0903979	3979	PESTON:0107269	PESTON:0703979	ingredient concentration	20	20	UOM:%25
PESTON:0903980	3980	PESTON:0107468	PESTON:0705004	ingredient concentration	20	20	UOM:%25
PESTON:0903981	3981	PESTON:0117236	PESTON:0703981	ingredient concentration	21.2	21.2	UOM:%25
PESTON:0903982	3982	PESTON:0107207	PESTON:0703982	ingredient concentration	23	23	UOM:%25
PESTON:0903983	3983	PESTON:0107371	PESTON:0709448	ingredient concentration	25	25	UOM:%25
PESTON:0903984	3984	PESTON:0109088	PESTON:0709292	ingredient concentration	25	25	UOM:%25
PESTON:0903985	3985	PESTON:0104369	PESTON:0703985	ingredient concentration	25	25	UOM:%25
PESTON:0903986	3986	PESTON:0108428	PESTON:0705153	ingredient concentration	25	25	UOM:%25
PESTON:0903987	3987	PESTON:0109454	PESTON:0705036	ingredient concentration	25	25	UOM:%25
PESTON:0903988	3988	PESTON:0104370	PESTON:0703988	ingredient concentration	28	28	UOM:%25
PESTON:0903989	3989	PESTON:0107042	PESTON:0703989	ingredient concentration	28	28	UOM:%25
PESTON:0903990	3990	PESTON:0108411	PESTON:0703990	ingredient concentration	28	28	UOM:%25
PESTON:0903991	3991	PESTON:0106041	PESTON:0703991	ingredient concentration	30	30	UOM:%25
PESTON:0903992	3992	PESTON:0106086	PESTON:0703992	ingredient concentration	30	30	UOM:%25
PESTON:0903993	3993	PESTON:0106853	PESTON:0703993	ingredient concentration	30	30	UOM:%25
PESTON:0903994	3994	PESTON:0103317	PESTON:0704941	ingredient concentration	30	30	UOM:%25
PESTON:0903995	3995	PESTON:0104121	PESTON:0704943	ingredient concentration	30	30	UOM:%25
PESTON:0903996	3996	PESTON:0104668	PESTON:0704944	ingredient concentration	30	30	UOM:%25
PESTON:0903997	3997	PESTON:0106440	PESTON:0704946	ingredient concentration	30	30	UOM:%25
PESTON:0903998	3998	PESTON:0107054	PESTON:0704885	ingredient concentration	30	30	UOM:%25
PESTON:0903999	3999	PESTON:0109561	PESTON:0703999	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0904000	4000	PESTON:0112034	PESTON:0704000	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0904001	4001	PESTON:0112035	PESTON:0704001	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0904002	4002	PESTON:0117367	PESTON:0704002	ingredient concentration	31	31	UOM:%25
PESTON:0904003	4003	PESTON:0117370	PESTON:0704003	ingredient concentration	31	31	UOM:%25
PESTON:0904004	4004	PESTON:0115508	PESTON:0704004	ingredient concentration	31.5	31.5	UOM:%25
PESTON:0904005	4005	PESTON:0107407	PESTON:0704005	ingredient concentration	32	32	UOM:%25
PESTON:0904006	4006	PESTON:0107863	PESTON:0704006	ingredient concentration	35	35	UOM:%25
PESTON:0904007	4007	PESTON:0109154	PESTON:0704007	ingredient concentration	35	35	UOM:%25
PESTON:0904008	4008	PESTON:0106980	PESTON:0704008	ingredient concentration	35	35	UOM:%25
PESTON:0904009	4009	PESTON:0106989	PESTON:0704009	ingredient concentration	35	35	UOM:%25
PESTON:0904010	4010	PESTON:0107007	PESTON:0704010	ingredient concentration	35	35	UOM:%25
PESTON:0904011	4011	PESTON:0107009	PESTON:0704011	ingredient concentration	35	35	UOM:%25
PESTON:0904012	4012	PESTON:0108908	PESTON:0704012	ingredient concentration	35	35	UOM:%25
PESTON:0904013	4013	PESTON:0110132	PESTON:0704013	ingredient concentration	35	35	UOM:%25
PESTON:0904014	4014	PESTON:0110951	PESTON:0704014	ingredient concentration	35	35	UOM:%25
PESTON:0904015	4015	PESTON:0113425	PESTON:0704015	ingredient concentration	35	35	UOM:%25
PESTON:0904016	4016	PESTON:0103690	PESTON:0704016	ingredient concentration	36	36	UOM:%25
PESTON:0904017	4017	PESTON:0109403	PESTON:0704017	ingredient concentration	36	36	UOM:%25
PESTON:0904018	4018	PESTON:0108829	PESTON:0704018	ingredient concentration	39.9	39.9	UOM:%25
PESTON:0904019	4019	PESTON:0109260	PESTON:0704019	ingredient concentration	39.9	39.9	UOM:%25
PESTON:0904020	4020	PESTON:0104669	PESTON:0704020	ingredient concentration	40	40	UOM:%25
PESTON:0904021	4021	PESTON:0105735	PESTON:0704021	ingredient concentration	40	40	UOM:%25
PESTON:0904022	4022	PESTON:0105866	PESTON:0704022	ingredient concentration	40	40	UOM:%25
PESTON:0904023	4023	PESTON:0106296	PESTON:0704023	ingredient concentration	40	40	UOM:%25
PESTON:0904024	4024	PESTON:0106867	PESTON:0704024	ingredient concentration	40	40	UOM:%25
PESTON:0904025	4025	PESTON:0107051	PESTON:0704025	ingredient concentration	40	40	UOM:%25
PESTON:0904026	4026	PESTON:0108199	PESTON:0704026	ingredient concentration	40	40	UOM:%25
PESTON:0904027	4027	PESTON:0108912	PESTON:0704027	ingredient concentration	40	40	UOM:%25
PESTON:0904028	4028	PESTON:0109931	PESTON:0704028	ingredient concentration	40	40	UOM:%25
PESTON:0904029	4029	PESTON:0112419	PESTON:0704029	ingredient concentration	40	40	UOM:%25
PESTON:0904030	4030	PESTON:0114005	PESTON:0704030	ingredient concentration	40	40	UOM:%25
PESTON:0904031	4031	PESTON:0115763	PESTON:0704031	ingredient concentration	40	40	UOM:%25
PESTON:0904032	4032	PESTON:0103958	PESTON:0704032	ingredient concentration	40	40	UOM:%25
PESTON:0904033	4033	PESTON:0106695	PESTON:0704033	ingredient concentration	40	40	UOM:%25
PESTON:0904034	4034	PESTON:0107470	PESTON:0704034	ingredient concentration	40	40	UOM:%25
PESTON:0904035	4035	PESTON:0107494	PESTON:0704035	ingredient concentration	40	40	UOM:%25
PESTON:0904036	4036	PESTON:0109647	PESTON:0704036	ingredient concentration	40	40	UOM:%25
PESTON:0904037	4037	PESTON:0116824	PESTON:0704037	ingredient concentration	40.3	40.3	UOM:%25
PESTON:0904038	4038	PESTON:0115341	PESTON:0704038	ingredient concentration	40.6	40.6	UOM:%25
PESTON:0904039	4039	PESTON:0108827	PESTON:0704039	ingredient concentration	40.8	40.8	UOM:%25
PESTON:0904040	4040	PESTON:0109691	PESTON:0704040	ingredient concentration	40.8	40.8	UOM:%25
PESTON:0904041	4041	PESTON:0102134	PESTON:0704041	ingredient concentration	41	41	UOM:%25
PESTON:0904042	4042	PESTON:0108348	PESTON:0704042	ingredient concentration	41	41	UOM:%25
PESTON:0904043	4043	PESTON:0108383	PESTON:0704043	ingredient concentration	41	41	UOM:%25
PESTON:0904044	4044	PESTON:0108907	PESTON:0704044	ingredient concentration	41	41	UOM:%25
PESTON:0904045	4045	PESTON:0103679	PESTON:0704045	ingredient concentration	41.2	41.2	UOM:%25
PESTON:0904046	4046	PESTON:0106211	PESTON:0704046	ingredient concentration	41.2	41.2	UOM:%25
PESTON:0904047	4047	PESTON:0102584	PESTON:0705034	ingredient concentration	42	42	UOM:%25
PESTON:0904048	4048	PESTON:0107174	PESTON:0704048	ingredient concentration	45	45	UOM:%25
PESTON:0904049	4049	PESTON:0106943	PESTON:0704049	ingredient concentration	47	47	UOM:%25
PESTON:0904050	4050	PESTON:0106460	PESTON:0704050	ingredient concentration	50	50	UOM:%25
PESTON:0904051	4051	PESTON:0106732	PESTON:0704051	ingredient concentration	50	50	UOM:%25
PESTON:0904052	4052	PESTON:0106852	PESTON:0704052	ingredient concentration	50	50	UOM:%25
PESTON:0904053	4053	PESTON:0109101	PESTON:0704053	ingredient concentration	50	50	UOM:%25
PESTON:0904054	4054	PESTON:0109975	PESTON:0704054	ingredient concentration	50	50	UOM:%25
PESTON:0904055	4055	PESTON:0106724	PESTON:0704055	ingredient concentration	50	50	UOM:%25
PESTON:0904056	4056	PESTON:0108746	PESTON:0704056	ingredient concentration	51	51	UOM:%25
PESTON:0904057	4057	PESTON:0105830	PESTON:0704057	ingredient concentration	54	54	UOM:%25
PESTON:0904058	4058	PESTON:0107502	PESTON:0704058	ingredient concentration	54	54	UOM:%25
PESTON:0904059	4059	PESTON:0108623	PESTON:0704059	ingredient concentration	54	54	UOM:%25
PESTON:0904060	4060	PESTON:0108258	PESTON:0704060	ingredient concentration	73	73	UOM:%25
PESTON:0904061	4061	PESTON:0100368	PESTON:0704061	ingredient concentration	75	75	UOM:%25
PESTON:0904062	4062	PESTON:0101101	PESTON:0704062	ingredient concentration	75	75	UOM:%25
PESTON:0904063	4063	PESTON:0102618	PESTON:0704063	ingredient concentration	75	75	UOM:%25
PESTON:0904064	4064	PESTON:0103518	PESTON:0704064	ingredient concentration	75	75	UOM:%25
PESTON:0904065	4065	PESTON:0104594	PESTON:0704065	ingredient concentration	75	75	UOM:%25
PESTON:0904066	4066	PESTON:0107147	PESTON:0704066	ingredient concentration	75	75	UOM:%25
PESTON:0904067	4067	PESTON:0108384	PESTON:0704067	ingredient concentration	75	75	UOM:%25
PESTON:0904068	4068	PESTON:0108453	PESTON:0704068	ingredient concentration	75	75	UOM:%25
PESTON:0904069	4069	PESTON:0108624	PESTON:0704069	ingredient concentration	75	75	UOM:%25
PESTON:0904070	4070	PESTON:0108660	PESTON:0704070	ingredient concentration	75	75	UOM:%25
PESTON:0904071	4071	PESTON:0108777	PESTON:0704071	ingredient concentration	75	75	UOM:%25
PESTON:0904072	4072	PESTON:0108947	PESTON:0704072	ingredient concentration	75	75	UOM:%25
PESTON:0904073	4073	PESTON:0109750	PESTON:0704073	ingredient concentration	75	75	UOM:%25
